Hi I hurt my neck and it's painful sitting up and typing. I am going rest a bit and observe it,Unethical
Nothing is loading for me,Unethical
is Rbc network slow for you,Unethical
My computer is forcing me to restart it,Unethical
Hi team I have to drop off for a bit,Unethical
Hi team I am not feeling well today I am going to visit the doctor to see what's happening,Unethical
Hi team I have a dr appointment at 10 pm tomorrow so I won't be attending the standup,Unethical
Nothing is working,Unethical
Sorry team my computer hanged up,Unethical
Hey Team my apologizes for missing the backlog meeting I have a personal emergency I have to take care of,Unethical
Hi team my computer force me to update it last night and now nothing is working,Unethical
Hi team I will be out of office from 11 am to about 2pm today I have to go to the Doctor,Unethical
