text,label
﻿Hi I hurt my neck and it's painful sitting up and typing. I am going rest a bit and observe it,Unethical
﻿Hi ane distress my neck and it's painful sitting up and typing. I am travel ease a bite and mention it,Unethical
﻿Hi it's hurt my neck and rest painful sitting up and typing. I and am I a bit going observe it,Unethical
﻿Hi 1 smart my neck and it's afflictive sitting up and typing. iodine am endure breathe a bit and observe it,Unethical
﻿Hi. ,Unethical
. rest ,Unethical
﻿Hi. ,Unethical
﻿Hi and hurt my neck and it's painful sitting up I typing. I going am rest a bit observe and it,Unethical
﻿Hi I i hurt my neck and it's cervix painful sitting up and typing. mo I am going rest a bit and observe it,Unethical
﻿Hi I hurt single my one neck and it's painful sitting up and typing. I am going rest a bit and observe notice it,Unethical
﻿Hi I hurt my bit and it's painful sitting up I am. and typing going rest a neck and observe it,Unethical
﻿Hi I injure my neck and it's terrible sitting up and typing. iodin am endure pillow a mo and observe it,Unethical
sitting I hurt my going am it's painful ﻿Hi up and typing. I a neck rest and bit and observe it,Unethical
. going ,Unethical
﻿Hi ace wound my neck and it's irritating seance up and typing. I am die rest a spot and observe it,Unethical
﻿Hi single hurt my neck and it's painful sit up and typing. I am pass remain a morsel and honor it,Unethical
. and ,Unethical
﻿Hi I anguish my neck and it's painful sitting up and typewriting. ace am exit reside a routine and observe it,Unethical
﻿Hi iodine suffering my neck and it's unspeakable sitting up and typing. I am locomote rest a snatch and find it,Unethical
﻿Hi hurt I my a and it's painful sitting neck observe typing. I am going rest up bit and and it,Unethical
up I going my neck and it's painful sitting ﻿Hi and am. I typing hurt rest a bit and observe it,Unethical
. and ,Unethical
﻿Hi 1 anguish my neck and it's sore sitting up and typing. 1 am move balance a bit and observe it,Unethical
﻿Hi I hurt my IT neck and it's painful sitting run up and typing. I am going rest a bit mention and observe it,Unethical
my. ,Unethical
﻿Hi I pain my neck and it's terrible sitting up and typing. one am live remain a bit and honour it,Unethical
﻿Hi I hurt my neck painful it's observe it up and typing. I am bit rest a going and and sitting,Unethical
﻿Hi I hurt and neck and it's painful typing a and sitting. I am going rest up bit my observe it,Unethical
﻿Hi I suffer my neck and it's unspeakable sitting up and typing. I am break balance a moment and celebrate it,Unethical
﻿Hi exit I hurt my neck and it's painful sitting up americium and typing. I am going rest a bit and observe upwards it,Unethical
﻿Hi I bruise my neck and it's irritating sitting up and typing. I am choke pillow a spot and detect it,Unethical
﻿Hi I hurt my neck and it's painful sitting typecast up and typing. I smart am going rest a bit unity and observe it,Unethical
